city,dizh,jingwd,lianxDianh,name,province,province_city,shengyMianj,shijMianj
北京市市辖区,北京市朝阳区黑庄户乡大鲁店东街甲1号,"116.590155,39.831585",18765918022,北京,北京市,北京北京市,0,27889
保定市,保定天威西路5298号,"115.358217,38.864358",18632205721,保定,河北省,河北省保定市,0,5880
邯郸市,南环机场路,"114.449538,36.556779",13722699089,邯郸,河北省,河北省邯郸市,0,7500
天津市市辖区,津南区八里台镇海尔创新产业园,"117.344160,38.952469",18701534517,天津,天津市,天津天津市,0,31776.4
唐山市,迎宾路20号,"118.085057,39.515667",13466623694,唐山,河北省,河北省唐山市,0,11000
张家口市,西山产业园煤机路12号龙辰博鳌物流基地10号库,"114.805108,40.787551",18931307355,张家口,河北省,河北省张家口市,0,1800
承德市,承德市开发区东西营工业园区A4-10承德正兴物流有限公司院内,"118.034341,40.860825",18601246951,承德,河北省,河北省承德市,2000,10000
沧州市,长芦北大道中国农资物流园内,"116.898863,38.339657",13165096008,沧州,河北省,河北省沧州市,300,3650
衡水市,衡水市苏正开发区冀衡路南河北博信医药公司院内,"115.734178,37.787999",15931022417,衡水,河北省,河北省衡水市,300,1800
大同市,山西大同南郊区水泊寺乡西坟村中铁十七局院内,"113.363333,40.107232",13734218609,大同,山西省,山西省大同市,0,3400
太原市,许坦东街18号,"112.606912,37.801372",13363438168,太原,山西省,山西省太原市,2000,40000
长治市,长治市郊区堠北庄镇余庄村天苑农业科技产业园内,"113.034386,36.215816",18935110307,长治,山西省,山西省长治市,500,3500
临汾市,海军街1号保税园区物流配送库,"111.400018,35.615120",18636265805,侯马,山西省,山西省临汾市,1000,7000
呼和浩特市,呼和浩特市金川开发区金二道兰太药业院内,"111.566891,40.805556",18247112524,呼市,内蒙古自治区,内蒙古呼和浩特市,0,8880
包头市,110国道666公里处羊山窑路口北300米德泰汇塑业院内,"109.942268,40.663063",18035788828,包头,内蒙古自治区,内蒙古包头市,8000,19000
大连市,大连市甘井子区姚家路92号海尔物流,"121.616481,39.027081",18640151511,大连,辽宁省,辽宁省大连市,55000,55000
锦州市,锦州市开发区西海工业园区,"121.026063,40.849639",18953292525,锦州,辽宁省,辽宁省锦州市,19900,19900
长春市,北凯旋路海尔大道与兴民路交汇吉林森工金桥集团北行300米,"125.288613,43.977534",18943187744,长春,吉林省,吉林省长春市,0,36000
松原市,单家围子百合彩钢后院,"124.768439,45.101553",18746027996,松原,吉林省,吉林省松原市,800,5500
哈尔滨市,松花路72号,"126.589467,45.577022",0451-86780709,哈尔滨,黑龙江省,黑龙江省哈尔滨市,3000,48000
大庆市,大庆市高新技术开发区新航路6号,"125.177055,46.575611",13604643424,大庆,黑龙江省,黑龙江省大庆市,23000,50000
佳木斯市,沿江乡政府对面森警后身沿江金属门窗厂院内,"130.242523,46.804242",13224648222,佳木斯,黑龙江省,黑龙江省佳木斯市,2000,10000
上海市市辖区,练塘镇泖甸路626号,"121.051001,31.039614",18616166868,上海,上海市,上海上海市,0,40083
南京市,龙潭镇金港路1号普洛斯物流园内,"119.084407,32.208342",13951742043,南京,江苏省,江苏省南京市,0,25156
无锡市,锡沪东路228号海尔物流园,"120.385295,31.579654",18626390366,无锡,江苏省,江苏省无锡市,0,20500
